rep_id,month_date,year,month,quarter,monthly_quota,monthly_revenue,quota_attainment_pct,calls_made,meetings_held,demos_completed,deals_closed,avg_deal_size,pipeline_value,pipeline_coverage_ratio,win_rate,avg_cycle_days,months_tenure
REP007,2025-09-01,2025,9,3,50000.0,26796.0,53.59,33,2,1,2,13398.0,100630.76,2.01,0.141,83,11
REP007,2025-10-01,2025,10,4,50000.0,14337.44,28.67,14,11,1,3,4779.15,79763.08,1.6,0.165,93,12
REP007,2025-11-01,2025,11,4,50000.0,19491.55,38.98,28,6,3,1,19491.55,104935.7,2.1,0.14,77,13
REP007,2025-12-01,2025,12,4,50000.0,33209.03,66.42,13,1,2,3,11069.68,82287.83,1.65,0.145,79,14
REP008,2024-01-01,2024,1,1,62500.0,19649.91,31.44,9,2,1,2,9824.96,127094.5,2.03,0.178,80,5
REP008,2024-02-01,2024,2,1,62500.0,28989.59,46.38,34,11,5,1,28989.59,96981.05,1.55,0.164,80,6
REP008,2024-03-01,2024,3,1,62500.0,15399.9,24.64,21,4,2,3,5133.3,123743.57,1.98,0.169,85,7
REP008,2024-04-01,2024,4,2,62500.0,18855.61,30.17,23,0,3,0,18855.61,102044.67,1.63,0.114,85,8
REP008,2024-05-01,2024,5,2,62500.0,35995.49,57.59,14,8,3,0,35995.49,103510.24,1.66,0.123,83,9
REP008,2024-06-01,2024,6,2,62500.0,18603.68,29.77,19,7,3,1,18603.68,143469.4,2.3,0.192,87,10
REP008,2024-07-01,2024,7,3,62500.0,28891.0,46.23,26,12,2,1,28891.0,131559.62,2.1,0.132,81,11
REP008,2024-08-01,2024,8,3,62500.0,20703.0,33.12,21,7,2,2,10351.5,148618.2,2.38,0.132,83,12
REP008,2024-09-01,2024,9,3,62500.0,35933.64,57.49,8,4,1,2,17966.82,133138.05,2.13,0.161,64,13
REP008,2024-10-01,2024,10,4,62500.0,31454.99,50.33,28,10,5,1,31454.99,130441.36,2.09,0.117,84,14
REP008,2024-11-01,2024,11,4,62500.0,34277.28,54.84,20,11,3,1,34277.28,146697.96,2.35,0.191,85,15
REP008,2024-12-01,2024,12,4,62500.0,22382.09,35.81,10,0,2,3,7460.7,138468.18,2.22,0.152,88,16
REP008,2025-01-01,2025,1,1,62500.0,28100.86,44.96,27,6,1,3,9366.95,106072.13,1.7,0.148,80,17
REP008,2025-02-01,2025,2,1,62500.0,23743.72,37.99,16,13,3,1,23743.72,130058.25,2.08,0.109,92,18
REP008,2025-03-01,2025,3,1,62500.0,25874.76,41.4,22,6,3,2,12937.38,101451.42,1.62,0.186,79,19
REP008,2025-04-01,2025,4,2,62500.0,19881.96,31.81,24,5,3,1,19881.96,99189.94,1.59,0.182,92,20
REP008,2025-05-01,2025,5,2,62500.0,21837.74,34.94,11,7,5,1,21837.74,143358.99,2.29,0.165,80,21
REP008,2025-06-01,2025,6,2,62500.0,35147.28,56.24,11,7,4,0,35147.28,139497.38,2.23,0.185,74,22
REP008,2025-07-01,2025,7,3,62500.0,30749.9,49.2,24,9,2,0,30749.9,103311.49,1.65,0.124,84,23
REP008,2025-08-01,2025,8,3,62500.0,27178.15,43.49,28,5,2,0,27178.15,133622.55,2.14,0.126,78,24
REP008,2025-09-01,2025,9,3,62500.0,29715.41,47.54,25,2,2,3,9905.14,121611.93,1.95,0.172,88,25
REP008,2025-10-01,2025,10,4,62500.0,25116.81,40.19,29,7,3,2,12558.41,130984.42,2.1,0.14,71,26
REP008,2025-11-01,2025,11,4,62500.0,26008.68,41.61,29,2,4,1,26008.68,135600.16,2.17,0.107,71,27
REP008,2025-12-01,2025,12,4,62500.0,32784.36,52.45,26,3,3,0,32784.36,97021.18,1.55,0.138,83,28
REP009,2024-03-01,2024,3,1,62500.0,14992.98,23.99,29,12,5,0,14992.98,149297.96,2.39,0.296,73,0
REP009,2024-04-01,2024,4,2,62500.0,22873.37,36.6,35,7,3,0,22873.37,151239.31,2.42,0.297,55,1
REP009,2024-05-01,2024,5,2,62500.0,27787.71,44.46,36,14,5,1,27787.71,149558.07,2.39,0.226,64,2
REP009,2024-06-01,2024,6,2,62500.0,39458.54,63.13,32,8,5,1,39458.54,167556.85,2.68,0.235,48,3
REP009,2024-07-01,2024,7,3,62500.0,44180.41,70.69,40,12,5,2,22090.2,198333.54,3.17,0.216,63,4
REP009,2024-08-01,2024,8,3,62500.0,55315.13,88.5,41,12,2,3,18438.38,182996.88,2.93,0.267,37,5
REP009,2024-09-01,2024,9,3,62500.0,64517.27,103.23,24,13,5,1,64517.27,163908.0,2.62,0.202,55,6
REP009,2024-10-01,2024,10,4,62500.0,81699.8,130.72,25,14,5,1,81699.8,163357.98,2.61,0.261,86,7
REP009,2024-11-01,2024,11,4,62500.0,66359.96,106.18,32,11,5,3,22119.99,151360.12,2.42,0.248,44,8
REP009,2024-12-01,2024,12,4,62500.0,65249.35,104.4,30,10,5,3,21749.78,198506.57,3.18,0.228,61,9
REP009,2025-01-01,2025,1,1,62500.0,56464.55,90.34,16,15,6,0,56464.55,155736.4,2.49,0.221,76,10
REP009,2025-02-01,2025,2,1,62500.0,53383.95,85.41,29,10,3,1,53383.95,154860.4,2.48,0.269,68,11
REP009,2025-03-01,2025,3,1,62500.0,53364.75,85.38,19,13,4,1,53364.75,154609.54,2.47,0.266,64,12
REP009,2025-04-01,2025,4,2,62500.0,65501.46,104.8,35,17,3,2,32750.73,173852.18,2.78,0.218,38,13
REP009,2025-05-01,2025,5,2,62500.0,59173.11,94.68,28,8,5,3,19724.37,186310.93,2.98,0.219,44,14
REP009,2025-06-01,2025,6,2,62500.0,66160.99,105.86,38,8,5,1,66160.99,184130.63,2.95,0.25,52,15
REP009,2025-07-01,2025,7,3,62500.0,60145.63,96.23,26,13,6,3,20048.54,182130.08,2.91,0.286,64,16
REP009,2025-08-01,2025,8,3,62500.0,57965.66,92.75,29,12,4,2,28982.83,201894.93,3.23,0.225,56,17
REP009,2025-09-01,2025,9,3,62500.0,68597.33,109.76,29,15,4,0,68597.33,157935.29,2.53,0.289,70,18
REP009,2025-10-01,2025,10,4,62500.0,65731.75,105.17,28,11,5,3,21910.58,193883.16,3.1,0.211,72,19
REP009,2025-11-01,2025,11,4,62500.0,64416.95,103.07,10,12,5,2,32208.48,204421.87,3.27,0.294,53,20
REP009,2025-12-01,2025,12,4,62500.0,71477.45,114.36,39,15,5,2,35738.73,148913.6,2.38,0.251,52,21
REP010,2024-07-01,2024,7,3,75000.0,25390.38,33.85,24,14,4,2,12695.19,244486.99,3.26,0.248,56,0
REP010,2024-08-01,2024,8,3,75000.0,28455.24,37.94,35,8,4,3,9485.08,211557.61,2.82,0.262,59,1
REP010,2024-09-01,2024,9,3,75000.0,36411.09,48.55,23,12,5,0,36411.09,201648.96,2.69,0.216,63,2
REP010,2024-10-01,2024,10,4,75000.0,57777.05,77.04,28,11,4,3,19259.02,191882.37,2.56,0.254,56,3
REP010,2024-11-01,2024,11,4,75000.0,67200.58,89.6,32,16,6,1,67200.58,192699.85,2.57,0.254,54,4
REP010,2024-12-01,2024,12,4,75000.0,78131.32,104.18,32,8,4,1,78131.32,229363.88,3.06,0.274,42,5
REP010,2025-01-01,2025,1,1,75000.0,63940.3,85.25,31,9,4,3,21313.43,184563.61,2.46,0.256,65,6
REP010,2025-02-01,2025,2,1,75000.0,68235.62,90.98,36,9,4,2,34117.81,195819.67,2.61,0.274,68,7
REP010,2025-03-01,2025,3,1,75000.0,67178.45,89.57,42,14,5,0,67178.45,211811.94,2.82,0.285,63,8
REP010,2025-04-01,2025,4,2,75000.0,63956.84,85.28,32,14,5,3,21318.95,235647.78,3.14,0.247,67,9
REP010,2025-05-01,2025,5,2,75000.0,73163.44,97.55,27,9,6,3,24387.81,188790.68,2.52,0.214,56,10
REP010,2025-06-01,2025,6,2,75000.0,71018.88,94.69,26,14,4,4,17754.72,180310.3,2.4,0.223,60,11
REP010,2025-07-01,2025,7,3,75000.0,80776.7,107.7,29,10,6,4,20194.17,174219.96,2.32,0.232,50,12
REP010,2025-08-01,2025,8,3,75000.0,80628.5,107.5,33,13,4,0,80628.5,181678.26,2.42,0.274,63,13
REP010,2025-09-01,2025,9,3,75000.0,71580.95,95.44,25,11,5,3,23860.32,227521.19,3.03,0.23,64,14
REP010,2025-10-01,2025,10,4,75000.0,87663.74,116.88,21,13,4,2,43831.87,245973.5,3.28,0.217,46,15
REP010,2025-11-01,2025,11,4,75000.0,92255.67,123.01,43,17,5,2,46127.83,231193.65,3.08,0.206,55,16
REP010,2025-12-01,2025,12,4,75000.0,84980.57,113.31,34,7,2,3,28326.86,225451.43,3.01,0.263,58,17
REP011,2024-04-01,2024,4,2,100000.0,25873.82,25.87,27,9,4,3,8624.61,231340.26,2.31,0.228,50,0
REP011,2024-05-01,2024,5,2,100000.0,42918.05,42.92,22,11,5,3,14306.02,256813.9,2.57,0.216,57,1
REP011,2024-06-01,2024,6,2,100000.0,55290.17,55.29,31,10,3,3,18430.06,261518.95,2.62,0.277,58,2
REP011,2024-07-01,2024,7,3,100000.0,68340.37,68.34,28,8,5,2,34170.19,312786.84,3.13,0.279,69,3
REP011,2024-08-01,2024,8,3,100000.0,78174.46,78.17,33,11,5,1,78174.46,249119.07,2.49,0.234,63,4
REP011,2024-09-01,2024,9,3,100000.0,97446.63,97.45,28,10,6,2,48723.32,284510.55,2.85,0.298,54,5
REP011,2024-10-01,2024,10,4,100000.0,108822.28,108.82,38,5,5,3,36274.09,291290.02,2.91,0.223,57,6
REP011,2024-11-01,2024,11,4,100000.0,106228.79,106.23,39,8,5,4,26557.2,259058.76,2.59,0.279,57,7
REP011,2024-12-01,2024,12,4,100000.0,105358.08,105.36,30,11,4,3,35119.36,263977.75,2.64,0.287,75,8
REP011,2025-01-01,2025,1,1,100000.0,88274.79,88.27,32,9,5,4,22068.7,285798.07,2.86,0.255,63,9
REP011,2025-02-01,2025,2,1,100000.0,74250.73,74.25,19,9,6,2,37125.36,267193.27,2.67,0.245,51,10
REP011,2025-03-01,2025,3,1,100000.0,81622.78,81.62,28,10,4,2,40811.39,305748.19,3.06,0.228,52,11
REP011,2025-04-01,2025,4,2,100000.0,92808.73,92.81,20,13,5,3,30936.24,274760.29,2.75,0.256,63,12
REP011,2025-05-01,2025,5,2,100000.0,94077.52,94.08,21,19,5,2,47038.76,303263.52,3.03,0.282,56,13
REP011,2025-06-01,2025,6,2,100000.0,92829.05,92.83,23,15,4,2,46414.52,242243.39,2.42,0.273,63,14
REP011,2025-07-01,2025,7,3,100000.0,91692.05,91.69,23,10,3,2,45846.03,241074.84,2.41,0.276,57,15
REP011,2025-08-01,2025,8,3,100000.0,115186.72,115.19,32,14,3,1,115186.72,311925.51,3.12,0.288,43,16
REP011,2025-09-01,2025,9,3,100000.0,92214.76,92.21,31,12,4,3,30738.25,303967.13,3.04,0.219,58,17
REP011,2025-10-01,2025,10,4,100000.0,120413.32,120.41,45,7,5,3,40137.77,314373.73,3.14,0.225,56,18
REP011,2025-11-01,2025,11,4,100000.0,102114.51,102.11,24,9,5,3,34038.17,251552.99,2.52,0.236,56,19
REP011,2025-12-01,2025,12,4,100000.0,104055.16,104.06,25,16,5,2,52027.58,253276.31,2.53,0.281,68,20
REP012,2024-01-01,2024,1,1,75000.0,9438.56,12.58,22,5,1,0,9438.56,141120.9,1.88,0.113,79,4
REP012,2024-02-01,2024,2,1,75000.0,19784.1,26.38,19,11,2,1,19784.1,114538.13,1.53,0.197,88,5
REP012,2024-03-01,2024,3,1,75000.0,37555.8,50.07,14,8,3,2,18777.9,159617.86,2.13,0.153,105,6
REP012,2024-04-01,2024,4,2,75000.0,34052.67,45.4,8,6,1,2,17026.34,174340.11,2.32,0.107,92,7
REP012,2024-05-01,2024,5,2,75000.0,32964.25,43.95,12,5,3,2,16482.12,175361.41,2.34,0.129,107,8
REP012,2024-06-01,2024,6,2,75000.0,27875.48,37.17,26,4,4,2,13937.74,131423.04,1.75,0.122,102,9
REP012,2024-07-01,2024,7,3,75000.0,32295.05,43.06,19,3,2,0,32295.05,125293.64,1.67,0.195,80,10
REP012,2024-08-01,2024,8,3,75000.0,29775.25,39.7,24,10,2,1,29775.25,130063.83,1.73,0.179,82,11
REP012,2024-09-01,2024,9,3,75000.0,46740.97,62.32,6,5,1,1,46740.97,180553.51,2.41,0.124,80,12
