deal_id,rep_id,deal_date,customer_segment,territory,deal_size_usd,discount_pct,final_deal_value,cycle_days,deal_status,loss_reason
DEAL00162,REP005,2024-03-11,SMB,EMEA,6811,0,6811.0,26,Lost,Competitor
DEAL00163,REP005,2025-09-14,SMB,EMEA,13916,5,13220.2,24,Lost,Competitor
DEAL00164,REP005,2025-05-19,SMB,EMEA,11975,0,11975.0,29,Won,
DEAL00165,REP005,2024-06-23,SMB,EMEA,7808,15,6636.8,35,Lost,Timing
DEAL00166,REP006,2025-09-23,SMB,LATAM,16877,10,15189.3,24,Lost,Competitor
DEAL00167,REP006,2025-06-16,SMB,LATAM,9317,0,9317.0,34,Lost,Competitor
DEAL00168,REP006,2025-07-11,SMB,LATAM,23004,20,18403.2,16,Won,
DEAL00169,REP006,2025-07-24,SMB,LATAM,11630,0,11630.0,35,Won,
DEAL00170,REP006,2025-08-07,SMB,LATAM,14476,15,12304.6,28,Won,
DEAL00171,REP006,2024-08-09,SMB,LATAM,12614,5,11983.3,37,Lost,Competitor
DEAL00172,REP006,2025-09-09,SMB,LATAM,6652,10,5986.8,47,Lost,Price
DEAL00173,REP006,2024-09-29,SMB,LATAM,6551,5,6223.45,16,Won,
DEAL00174,REP006,2025-04-12,SMB,LATAM,21065,0,21065.0,41,Won,
DEAL00175,REP006,2024-08-08,SMB,LATAM,24548,10,22093.2,32,Lost,Competitor
DEAL00176,REP006,2024-01-20,SMB,LATAM,15327,15,13027.95,29,Won,
DEAL00177,REP006,2024-07-26,SMB,LATAM,10153,5,9645.35,39,Won,
DEAL00178,REP006,2025-06-28,SMB,LATAM,21672,5,20588.4,27,Lost,No Decision
DEAL00179,REP006,2024-08-27,SMB,LATAM,22567,10,20310.3,26,Won,
DEAL00180,REP006,2024-07-16,SMB,LATAM,19380,0,19380.0,36,Lost,No Decision
DEAL00181,REP006,2024-06-14,SMB,LATAM,17314,20,13851.2,54,Won,
DEAL00182,REP006,2024-06-17,SMB,LATAM,15032,20,12025.6,30,Won,
DEAL00183,REP006,2025-06-20,SMB,LATAM,21508,5,20432.6,28,Won,
DEAL00184,REP006,2024-04-30,SMB,LATAM,9349,5,8881.55,27,Lost,Price
DEAL00185,REP006,2024-07-01,SMB,LATAM,14228,30,9959.6,28,Won,
DEAL00186,REP006,2025-08-28,SMB,LATAM,12614,15,10721.9,37,Won,
DEAL00187,REP006,2024-02-15,SMB,LATAM,9839,10,8855.1,44,Won,
DEAL00188,REP006,2025-05-25,SMB,LATAM,11998,10,10798.2,12,Won,
DEAL00189,REP006,2025-05-01,SMB,LATAM,18700,5,17765.0,27,Lost,Price
DEAL00190,REP006,2025-09-12,SMB,LATAM,7160,0,7160.0,23,Won,
DEAL00191,REP006,2024-01-16,SMB,LATAM,19269,0,19269.0,12,Won,
DEAL00192,REP006,2025-02-21,SMB,LATAM,16741,15,14229.85,17,Won,
DEAL00193,REP006,2025-06-04,SMB,LATAM,19566,0,19566.0,11,Won,
DEAL00194,REP006,2025-08-18,SMB,LATAM,16901,5,16055.95,32,Won,
DEAL00195,REP006,2025-06-25,SMB,LATAM,13269,0,13269.0,27,Lost,Price
DEAL00196,REP006,2024-09-26,SMB,LATAM,15679,15,13327.15,19,Lost,Price
DEAL00197,REP006,2025-07-26,SMB,LATAM,24160,0,24160.0,38,Lost,Competitor
DEAL00198,REP006,2024-01-25,SMB,LATAM,19628,10,17665.2,53,Lost,Price
DEAL00199,REP006,2025-10-07,SMB,LATAM,17941,10,16146.9,28,Lost,Competitor
DEAL00200,REP006,2025-07-28,SMB,LATAM,11021,0,11021.0,21,Won,
DEAL00201,REP006,2024-02-09,SMB,LATAM,22587,15,19198.95,20,Won,
DEAL00202,REP006,2024-01-22,SMB,LATAM,7477,0,7477.0,42,Lost,Competitor
DEAL00203,REP006,2024-03-24,SMB,LATAM,19841,15,16864.85,19,Won,
DEAL00204,REP006,2025-05-23,SMB,LATAM,7340,10,6606.0,26,Won,
DEAL00205,REP006,2025-05-16,SMB,LATAM,20025,0,20025.0,7,Won,
DEAL00206,REP006,2025-08-23,SMB,LATAM,20768,10,18691.2,39,Lost,No Decision
DEAL00207,REP006,2024-12-08,SMB,LATAM,19485,0,19485.0,16,Won,
DEAL00208,REP006,2025-05-03,SMB,LATAM,16552,10,14896.8,35,Lost,Poor Fit
DEAL00209,REP006,2024-06-21,SMB,LATAM,10531,0,10531.0,37,Lost,Poor Fit
DEAL00210,REP006,2025-08-12,SMB,LATAM,24323,5,23106.85,48,Lost,Poor Fit
DEAL00211,REP006,2025-11-21,SMB,LATAM,12074,25,9055.5,22,Lost,No Decision
DEAL00212,REP006,2024-06-16,SMB,LATAM,11764,25,8823.0,32,Won,
DEAL00213,REP006,2025-08-13,SMB,LATAM,21292,10,19162.8,37,Won,
DEAL00214,REP006,2025-05-19,SMB,LATAM,21880,5,20786.0,34,Won,
DEAL00215,REP006,2025-12-18,SMB,LATAM,10733,0,10733.0,35,Won,
DEAL00216,REP006,2025-11-29,SMB,LATAM,22861,10,20574.9,32,Won,
DEAL00217,REP006,2024-02-20,SMB,LATAM,13841,20,11072.8,21,Lost,Price
DEAL00218,REP006,2025-11-08,SMB,LATAM,7243,0,7243.0,30,Won,
DEAL00219,REP006,2024-06-26,SMB,LATAM,17998,0,17998.0,33,Won,
DEAL00220,REP006,2025-04-08,SMB,LATAM,12273,10,11045.7,15,Won,
DEAL00221,REP006,2024-09-20,SMB,LATAM,9617,10,8655.3,13,Won,
DEAL00222,REP006,2025-04-13,SMB,LATAM,18337,25,13752.75,15,Won,
DEAL00223,REP006,2024-05-17,SMB,LATAM,15503,10,13952.7,34,Won,
DEAL00224,REP006,2025-09-02,SMB,LATAM,9694,15,8239.9,28,Lost,Missing Feature
DEAL00225,REP006,2025-08-14,SMB,LATAM,23907,5,22711.65,15,Won,
DEAL00226,REP006,2025-03-22,SMB,LATAM,12982,5,12332.9,27,Lost,Timing
DEAL00227,REP006,2025-10-25,SMB,LATAM,8442,0,8442.0,37,Lost,Timing
DEAL00228,REP006,2024-12-23,SMB,LATAM,18142,5,17234.9,38,Won,
DEAL00229,REP006,2024-10-29,SMB,LATAM,22088,25,16566.0,27,Won,
DEAL00230,REP006,2025-06-16,SMB,LATAM,5754,0,5754.0,20,Won,
DEAL00231,REP006,2025-01-28,SMB,LATAM,10396,0,10396.0,26,Lost,No Decision
DEAL00232,REP006,2024-05-29,SMB,LATAM,22302,10,20071.8,36,Won,
DEAL00233,REP006,2024-12-16,SMB,LATAM,19235,0,19235.0,23,Won,
DEAL00234,REP006,2024-12-30,SMB,LATAM,21784,10,19605.6,33,Lost,Price
DEAL00235,REP006,2025-03-09,SMB,LATAM,5246,5,4983.7,11,Won,
DEAL00236,REP006,2024-03-02,SMB,LATAM,6839,10,6155.1,49,Won,
DEAL00237,REP006,2024-10-29,SMB,LATAM,8691,5,8256.45,36,Lost,No Decision
DEAL00238,REP006,2024-09-23,SMB,LATAM,9300,10,8370.0,32,Won,
DEAL00239,REP006,2025-07-20,SMB,LATAM,22143,0,22143.0,31,Lost,Price
DEAL00240,REP006,2025-02-15,SMB,LATAM,18485,10,16636.5,45,Won,
DEAL00241,REP006,2024-10-30,SMB,LATAM,14457,0,14457.0,17,Won,
DEAL00242,REP006,2025-01-04,SMB,LATAM,9676,10,8708.4,45,Won,
DEAL00243,REP006,2025-08-29,SMB,LATAM,13167,10,11850.3,24,Won,
DEAL00244,REP006,2024-12-18,SMB,LATAM,11931,5,11334.45,34,Won,
DEAL00245,REP006,2024-08-04,SMB,LATAM,5260,15,4471.0,32,Lost,Competitor
DEAL00246,REP006,2024-09-29,SMB,LATAM,12207,20,9765.6,36,Lost,Timing
DEAL00247,REP007,2025-04-28,Mid-Market,LATAM,79068,0,79068.0,44,Lost,Missing Feature
DEAL00248,REP007,2025-03-07,Mid-Market,LATAM,25306,5,24040.7,48,Lost,Price
DEAL00249,REP007,2024-04-27,Mid-Market,LATAM,42256,0,42256.0,64,Lost,Poor Fit
DEAL00250,REP007,2024-03-29,Mid-Market,LATAM,61776,10,55598.4,59,Lost,No Decision
DEAL00251,REP007,2024-10-10,Mid-Market,LATAM,58289,0,58289.0,62,Lost,Price
DEAL00252,REP007,2025-08-08,Mid-Market,LATAM,29781,10,26802.9,83,Lost,Competitor
DEAL00253,REP007,2025-10-04,Mid-Market,LATAM,42101,5,39995.95,67,Lost,Price
DEAL00254,REP007,2024-11-20,Mid-Market,LATAM,58717,0,58717.0,63,Lost,Timing
DEAL00255,REP007,2025-06-19,Mid-Market,LATAM,67607,5,64226.65,70,Lost,Price
DEAL00256,REP007,2025-06-28,Mid-Market,LATAM,64107,5,60901.65,81,Lost,Timing
DEAL00257,REP007,2024-01-11,Mid-Market,LATAM,81234,0,81234.0,56,Lost,Competitor
DEAL00258,REP007,2025-10-24,Mid-Market,LATAM,96835,5,91993.25,90,Lost,Timing
DEAL00259,REP007,2025-01-14,Mid-Market,LATAM,48434,15,41168.9,55,Won,
DEAL00260,REP007,2024-08-01,Mid-Market,LATAM,64470,0,64470.0,59,Won,
DEAL00261,REP007,2025-09-28,Mid-Market,LATAM,57926,10,52133.4,57,Lost,Price
DEAL00262,REP007,2024-04-20,Mid-Market,LATAM,27526,5,26149.7,58,Lost,Timing
DEAL00263,REP007,2025-07-03,Mid-Market,LATAM,61051,5,57998.45,57,Lost,Timing
DEAL00264,REP007,2025-04-07,Mid-Market,LATAM,76458,15,64989.3,40,Lost,Timing
DEAL00265,REP007,2025-10-06,Mid-Market,LATAM,47191,15,40112.35,72,Lost,Competitor
DEAL00266,REP007,2025-07-21,Mid-Market,LATAM,74997,5,71247.15,40,Lost,Competitor
DEAL00267,REP007,2024-12-14,Mid-Market,LATAM,43030,10,38727.0,67,Lost,Timing
DEAL00268,REP007,2025-07-07,Mid-Market,LATAM,72671,25,54503.25,78,Lost,Timing
DEAL00269,REP008,2025-03-16,Enterprise,North America,235669,0,235669.0,88,Lost,Price
DEAL00270,REP008,2024-06-07,Enterprise,North America,355392,0,355392.0,123,Lost,Competitor
DEAL00271,REP008,2024-04-05,Enterprise,North America,344413,0,344413.0,110,Lost,No Decision
DEAL00272,REP008,2024-10-20,Enterprise,North America,381892,20,305513.6,153,Lost,No Decision
DEAL00273,REP008,2024-08-22,Enterprise,North America,436564,0,436564.0,167,Lost,Competitor
DEAL00274,REP008,2024-09-28,Enterprise,North America,234997,0,234997.0,151,Lost,Competitor
DEAL00275,REP008,2025-08-04,Enterprise,North America,272624,5,258992.8,110,Lost,Price
DEAL00276,REP008,2025-07-08,Enterprise,North America,183360,5,174192.0,145,Lost,Price
DEAL00277,REP008,2025-03-19,Enterprise,North America,321404,5,305333.8,191,Lost,Competitor
DEAL00278,REP008,2024-05-16,Enterprise,North America,289016,30,202311.2,103,Lost,Price
DEAL00279,REP008,2024-05-08,Enterprise,North America,456963,0,456963.0,168,Lost,Competitor
DEAL00280,REP008,2024-09-13,Enterprise,North America,390358,5,370840.1,46,Lost,Timing
DEAL00281,REP008,2025-10-23,Enterprise,North America,452954,5,430306.3,166,Lost,Poor Fit
DEAL00282,REP008,2025-06-19,Enterprise,North America,204087,5,193882.65,122,Lost,No Decision
DEAL00283,REP008,2025-07-18,Enterprise,North America,266797,0,266797.0,97,Lost,No Decision
DEAL00284,REP008,2025-06-03,Enterprise,North America,230251,10,207225.9,140,Lost,No Decision
DEAL00285,REP008,2024-07-28,Enterprise,North America,167546,20,134036.8,101,Won,
DEAL00286,REP008,2024-03-07,Enterprise,North America,154607,0,154607.0,124,Lost,Competitor
DEAL00287,REP008,2025-09-04,Enterprise,North America,454045,15,385938.25,69,Lost,Price
DEAL00288,REP008,2025-05-30,Enterprise,North America,379477,10,341529.3,151,Lost,Price
DEAL00289,REP008,2025-12-03,Enterprise,North America,349434,5,331962.3,68,Lost,Price
DEAL00290,REP008,2024-08-17,Enterprise,North America,413174,10,371856.6,102,Won,
DEAL00291,REP008,2025-07-14,Enterprise,North America,228019,10,205217.1,92,Won,
DEAL00292,REP008,2025-08-28,Enterprise,North America,100015,20,80012.0,117,Lost,No Decision
DEAL00293,REP009,2024-11-11,SMB,North America,15196,15,12916.6,27,Won,
DEAL00294,REP009,2025-03-19,SMB,North America,24153,10,21737.7,40,Won,
DEAL00295,REP009,2025-07-19,SMB,North America,10066,0,10066.0,39,Won,
DEAL00296,REP009,2024-04-21,SMB,North America,22199,0,22199.0,21,Won,
DEAL00297,REP009,2025-01-16,SMB,North America,15518,5,14742.1,19,Lost,Price
DEAL00298,REP009,2024-08-01,SMB,North America,10287,0,10287.0,19,Won,
DEAL00299,REP009,2025-02-12,SMB,North America,12433,5,11811.35,24,Lost,Competitor
DEAL00300,REP009,2024-05-11,SMB,North America,22241,10,20016.9,47,Won,
